	меняется порядок	меняется компонент, компоненты
von A bis Z	0	
ab und zu	0	
bunt Abend	0	bunt:a
heilig Abend	0	heilig:a
Abschaum der Menschheit	0	
es gehen abwärts mit		gehen:v
auf Abwege geraten		geraten:v
Ach und Krach	0	
auf Achse sein		sein:v
Achseln zucken		zucken:v
zur Ader lassen		lassen:v
an die falsche Adresse kommen		kommen:v
an die falsche Adresse geraten		geraten:v
Akten schliessen		schliessen:v
zu Akten legen		legen:v
blind Alarm	0	blind:a
alles bleiben beim alten		bleiben:v
Anfang vom Ende	0	
mit nichts anfangen können		können:v
mit nichts anfangen wissen		wissen:v
wie angegossen passen		passen:v
